director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,col_merge
Kar-Wai Wong,Li Gong,Tony Chiu Wai Leung,Maggie Cheung,Drama Romance Sci-Fi,2046,Li Gong Tony Chiu Wai Leung Maggie Cheung Kar-Wai Wong Drama Romance Sci-Fi
Ira Sachs,David Richmond-Peck,Erin Boyes,Timothy Webber,Crime Drama Romance,married life,David Richmond-Peck Erin Boyes Timothy Webber Ira Sachs Crime Drama Romance
Carroll Ballard,Eamonn Walker,Hope Davis,Campbell Scott,Adventure Drama Family,duma,Eamonn Walker Hope Davis Campbell Scott Carroll Ballard Adventure Drama Family
Neil Jordan,Tony Curran,Stephen Rea,Alicja Bachleda,Drama Mystery Romance,ondine,Tony Curran Stephen Rea Alicja Bachleda Neil Jordan Drama Mystery Romance
Anthony Russo,Michael Jeter,Isaiah Washington,Andy Davoli,Comedy Crime,welcome to collinwood,Michael Jeter Isaiah Washington Andy Davoli Anthony Russo Comedy Crime
Vadim Perelman,Eva Amurri Martino,Lynn Cohen,Brett Cullen,Drama Mystery Thriller,the life before her eyes,Eva Amurri Martino Lynn Cohen Brett Cullen Vadim Perelman Drama Mystery Thriller
Lawrence Kasdan,Dianne Wiest,Mark Duplass,Sam Shepard,Comedy Drama Romance,darling companion,Dianne Wiest Mark Duplass Sam Shepard Lawrence Kasdan Comedy Drama Romance
Marco Kreuzpaintner,Zack Ward,Kate del Castillo,Alicja Bachleda,Crime Drama Thriller,trade,Zack Ward Kate del Castillo Alicja Bachleda Marco Kreuzpaintner Crime Drama Thriller
Lajos Koltai,Marcell Nagy,Péter Fancsikai,Bálint Péntek,Drama Romance War,fateless,Marcell Nagy Péter Fancsikai Bálint Péntek Lajos Koltai Drama Romance War
Vincenzo Natali,David Hewlett,Jeremy Northam,Kari Matchett,Mystery Romance Sci-Fi Thriller,cypher,David Hewlett Jeremy Northam Kari Matchett Vincenzo Natali Mystery Romance Sci-Fi Thriller
Chuan Lu,Ye Liu,Yuanyuan Gao,Ryu Kohata,Drama History War,city of life and death,Ye Liu Yuanyuan Gao Ryu Kohata Chuan Lu Drama History War
Lijun Sun,Jon Heder,Tom Arnold,Rebecca Black,Action Adventure Animation Comedy Family,legend of kung fu rabbit,Jon Heder Tom Arnold Rebecca Black Lijun Sun Action Adventure Animation Comedy Family
Takashi Yamazaki,Takuya Kimura,Meisa Kuroki,Hiroyuki Ikeuchi,Action Adventure Drama Sci-Fi,space battleship yamato,Takuya Kimura Meisa Kuroki Hiroyuki Ikeuchi Takashi Yamazaki Action Adventure Drama Sci-Fi
Renny Harlin,Richard Coyle,Kenneth Cranham,Ana Imnadze,Action Drama War,5 days of war,Richard Coyle Kenneth Cranham Ana Imnadze Renny Harlin Action Drama War
Christopher Smith,Rachael Carpani,Michael Dorman,Emma Lung,Fantasy Mystery Thriller,triangle,Rachael Carpani Michael Dorman Emma Lung Christopher Smith Fantasy Mystery Thriller
Timothy Hines,Christopher Lambert,Kelly LeBrock,Alexandra Callas,Drama,10 days in a madhouse,Christopher Lambert Kelly LeBrock Alexandra Callas Timothy Hines Drama
Randall Wallace,Jacob Vargas,Connor Corum,Rob Moran,Biography Drama,heaven is for real,Jacob Vargas Connor Corum Rob Moran Randall Wallace Biography Drama
David Winters,Gary Daniels,Matt Marr,Ginger Jensen,Family Musical,dancin' it's on,Gary Daniels Matt Marr Ginger Jensen David Winters Family Musical
Jamie Thraves,Paddy Considine,Caroline Dhavernas,Charlotte Sullivan,Drama Thriller,the cry of the owl,Paddy Considine Caroline Dhavernas Charlotte Sullivan Jamie Thraves Drama Thriller
Mabel Cheung,Wei Tang,Ching Wan Lau,Hailu Qin,Drama,a tale of three cities,Wei Tang Ching Wan Lau Hailu Qin Mabel Cheung Drama
Dan Mazer,Robert De Niro,Zoey Deutch,Jason Mantzoukas,Comedy,dirty grandpa,Robert De Niro Zoey Deutch Jason Mantzoukas Dan Mazer Comedy
Stephen Daldry,Wagner Moura,Selton Mello,Daniel Zettel,Adventure Crime Drama Mystery Thriller,trash,Wagner Moura Selton Mello Daniel Zettel Stephen Daldry Adventure Crime Drama Mystery Thriller
Kenny Ortega,Lucas Grabeel,Matt Prokop,Corbin Bleu,Comedy Drama Family Music Musical Romance,high school musical 3: senior year,Lucas Grabeel Matt Prokop Corbin Bleu Kenny Ortega Comedy Drama Family Music Musical Romance
David O. Russell,Christian Bale,Jack McGee,Melissa McMeekin,Biography Drama Sport,the fighter,Christian Bale Jack McGee Melissa McMeekin David O. Russell Biography Drama Sport
Jeff Tremaine,Bam Margera,Steve-O,Chris Pontius,Action Comedy Documentary,jackass number two,Bam Margera Steve-O Chris Pontius Jeff Tremaine Action Comedy Documentary
R.J. Cutler,Chloë Grace Moretz,Mireille Enos,Stacy Keach,Drama Fantasy Music Romance,if i stay,Chloë Grace Moretz Mireille Enos Stacy Keach R.J. Cutler Drama Fantasy Music Romance
Brian Trenchard-Smith,Zoe Ventoura,Damien Garvey,Christopher Sommers,Action Comedy Crime,drive hard,Zoe Ventoura Damien Garvey Christopher Sommers Brian Trenchard-Smith Action Comedy Crime
Oliver Parker,Lily Cole,Rupert Everett,Tamsin Egerton,Comedy,st. trinian's,Lily Cole Rupert Everett Tamsin Egerton Oliver Parker Comedy
Joel Schumacher,Radha Mitchell,John Enos III,Richard T. Jones,Crime Thriller,phone booth,Radha Mitchell John Enos III Richard T. Jones Joel Schumacher Crime Thriller
Adam Shankman,Lauren German,Peter Coyote,Paz de la Huerta,Drama Romance,a walk to remember,Lauren German Peter Coyote Paz de la Huerta Adam Shankman Drama Romance
Kevin Greutert,Costas Mandylor,Shawnee Smith,George Newbern,Horror Mystery,saw vi,Costas Mandylor Shawnee Smith George Newbern Kevin Greutert Horror Mystery
Gina Prince-Bythewood,Nate Parker,Alicia Keys,Jennifer Hudson,Drama,the secret life of bees,Nate Parker Alicia Keys Jennifer Hudson Gina Prince-Bythewood Drama
Rob Pritts,Vincent Pastore,Vinessa Shaw,Peter Berg,Comedy Crime,corky romano,Vincent Pastore Vinessa Shaw Peter Berg Rob Pritts Comedy Crime
John Crowley,Julie Walters,Fiona Glascott,Eva Birthistle,Drama Romance,brooklyn,Julie Walters Fiona Glascott Eva Birthistle John Crowley Drama Romance
Brendan Malloy,Lee Majors,Jason London,Thomas Lennon,Comedy Sport,out cold,Lee Majors Jason London Thomas Lennon Brendan Malloy Comedy Sport
Dustin Hoffman,Luke Newberry,Sheridan Smith,Pauline Collins,Comedy Drama,quartet,Luke Newberry Sheridan Smith Pauline Collins Dustin Hoffman Comedy Drama
Gregory Poirier,Shannon Elizabeth,Jake Busey,David Ogden Stiers,Comedy,tomcats,Shannon Elizabeth Jake Busey David Ogden Stiers Gregory Poirier Comedy
Bill Paxton,Matthew McConaughey,Powers Boothe,Matt O'Leary,Crime Drama Thriller,frailty,Matthew McConaughey Powers Boothe Matt O'Leary Bill Paxton Crime Drama Thriller
Simon Curtis,Ryan Reynolds,Frances Fisher,Elizabeth McGovern,Biography Drama History,woman in gold,Ryan Reynolds Frances Fisher Elizabeth McGovern Simon Curtis Biography Drama History
Bill Condon,Liam Neeson,Oliver Platt,Dylan Baker,Biography Drama,kinsey,Liam Neeson Oliver Platt Dylan Baker Bill Condon Biography Drama
Dewey Nicks,Jaime King,Gedde Watanabe,Jim Rash,Comedy Romance,slackers,Jaime King Gedde Watanabe Jim Rash Dewey Nicks Comedy Romance
Philip Saville,Henry Ian Cusick,Alan Van Sprang,Scott Handy,Biography Drama History,the visual bible: the gospel of john,Henry Ian Cusick Alan Van Sprang Scott Handy Philip Saville Biography Drama History
Mike Leigh,Eddie Marsan,Sally Hawkins,Imelda Staunton,Crime Drama,vera drake,Eddie Marsan Sally Hawkins Imelda Staunton Mike Leigh Crime Drama
Daisy von Scherler Mayer,Michael McKean,Dash Mihok,Jimi Mistry,Comedy Music Romance,the guru,Michael McKean Dash Mihok Jimi Mistry Daisy von Scherler Mayer Comedy Music Romance
Ethan Coen,Justin Timberlake,Max Casella,Alex Karpovsky,Drama Music,inside llewyn davis,Justin Timberlake Max Casella Alex Karpovsky Ethan Coen Drama Music
John Turturro,Kate Winslet,Steve Buscemi,Eddie Izzard,Comedy Musical Romance,romance & cigarettes,Kate Winslet Steve Buscemi Eddie Izzard John Turturro Comedy Musical Romance
Agnieszka Holland,Phyllida Law,David Kennedy,Angus Barnett,Biography Drama Music,copying beethoven,Phyllida Law David Kennedy Angus Barnett Agnieszka Holland Biography Drama Music
Rowan Joffe,Sam Riley,Sean Harris,Geoff Bell,Crime Drama Thriller,brighton rock,Sam Riley Sean Harris Geoff Bell Rowan Joffe Crime Drama Thriller
David Hackl,Julie Benz,Costas Mandylor,Scott Patterson,Horror Mystery,saw v,Julie Benz Costas Mandylor Scott Patterson David Hackl Horror Mystery
Lisa Azuelos,Nora Dunn,Lina Esco,Alix Freihage,Comedy Drama Romance,lol,Nora Dunn Lina Esco Alix Freihage Lisa Azuelos Comedy Drama Romance
Ray Lawrence,John Howard,Deborra-Lee Furness,Max Cullen,Crime Drama Mystery Thriller,jindabyne,John Howard Deborra-Lee Furness Max Cullen Ray Lawrence Crime Drama Mystery Thriller
Karan Johar,Shah Rukh Khan,John Abraham,Preity Zinta,Drama,kabhi alvida naa kehna,Shah Rukh Khan John Abraham Preity Zinta Karan Johar Drama
Ruairi Robinson,Romola Garai,Olivia Williams,Tom Cullen,Horror Sci-Fi Thriller,the last days on mars,Romola Garai Olivia Williams Tom Cullen Ruairi Robinson Horror Sci-Fi Thriller
Jaume Balagueró,Lena Olin,Giancarlo Giannini,Francesc Pagès,Horror,darkness,Lena Olin Giancarlo Giannini Francesc Pagès Jaume Balagueró Horror
Jon Kasdan,Kristen Stewart,Elena Anaya,Dustin Milligan,Comedy Drama Romance,in the land of women,Kristen Stewart Elena Anaya Dustin Milligan Jon Kasdan Comedy Drama Romance
Léa Pool,William Hurt,Marc Donato,Raoul Max Trujillo,Adventure Drama,the blue butterfly,William Hurt Marc Donato Raoul Max Trujillo Léa Pool Adventure Drama
Sajid Khan,Arjun Rampal,Boman Irani,Riteish Deshmukh,Comedy,housefull,Arjun Rampal Boman Irani Riteish Deshmukh Sajid Khan Comedy
Christopher Cain,Jon Gries,Taylor Handley,Trent Ford,Drama History Romance Western,september dawn,Jon Gries Taylor Handley Trent Ford Christopher Cain Drama History Romance Western
Dean Wright,Santiago Cabrera,Eduardo Verástegui,Catalina Sandino Moreno,Drama History War,for greater glory: the true story of cristiada,Santiago Cabrera Eduardo Verástegui Catalina Sandino Moreno Dean Wright Drama History War
Eric Lartigau,Karin Viard,Eric Elmosnino,François Damiens,Comedy Drama Music,la famille bélier,Karin Viard Eric Elmosnino François Damiens Eric Lartigau Comedy Drama Music
Shintaro Shimosawa,Al Pacino,Anthony Hopkins,Glen Powell,Drama Thriller,misconduct,Al Pacino Anthony Hopkins Glen Powell Shintaro Shimosawa Drama Thriller
Darren Lynn Bousman,Costas Mandylor,Shawnee Smith,Leigh Whannell,Horror Mystery,saw iii,Costas Mandylor Shawnee Smith Leigh Whannell Darren Lynn Bousman Horror Mystery
James DeMonaco,Frank Grillo,Joseph Julian Soria,Mykelti Williamson,Action Horror Sci-Fi Thriller,the purge: election year,Frank Grillo Joseph Julian Soria Mykelti Williamson James DeMonaco Action Horror Sci-Fi Thriller
Lee Daniels,Mo'Nique,Gabourey Sidibe,Mariah Carey,Drama,precious,Mo'Nique Gabourey Sidibe Mariah Carey Lee Daniels Drama
Darren Lynn Bousman,Costas Mandylor,Shawnee Smith,Angus Macfadyen,Horror Mystery,saw iv,Costas Mandylor Shawnee Smith Angus Macfadyen Darren Lynn Bousman Horror Mystery
Geoffrey Sax,Deborah Kara Unger,Keegan Connor Tracy,Mike Dopud,Drama Horror Mystery Thriller,white noise,Deborah Kara Unger Keegan Connor Tracy Mike Dopud Geoffrey Sax Drama Horror Mystery Thriller
Tyler Perry,Boris Kodjoe,Cicely Tyson,Blair Underwood,Comedy Drama Romance,madea's family reunion,Boris Kodjoe Cicely Tyson Blair Underwood Tyler Perry Comedy Drama Romance
Takashi Shimizu,Sarah Michelle Gellar,Clea DuVall,Ted Raimi,Horror Mystery Thriller,the grudge,Sarah Michelle Gellar Clea DuVall Ted Raimi Takashi Shimizu Horror Mystery Thriller
Victor Salva,Eileen Brennan,Patricia Belcher,Jonathan Breck,Horror Mystery,jeepers creepers,Eileen Brennan Patricia Belcher Jonathan Breck Victor Salva Horror Mystery
John Madden,Tom Wilkinson,Penelope Wilton,Celia Imrie,Comedy Drama,the best exotic marigold hotel,Tom Wilkinson Penelope Wilton Celia Imrie John Madden Comedy Drama
Chuck Sheetz,Diedrich Bader,Andrew Lawrence,Dabney Coleman,Animation Comedy Family Mystery Sci-Fi,recess: school's out,Diedrich Bader Andrew Lawrence Dabney Coleman Chuck Sheetz Animation Comedy Family Mystery Sci-Fi
William Brent Bell,Lauren Cohan,Rupert Evans,Stephanie Lemelin,Horror Mystery Thriller,the boy,Lauren Cohan Rupert Evans Stephanie Lemelin William Brent Bell Horror Mystery Thriller
John Erick Dowdle,Bojana Novakovic,Bokeem Woodbine,Geoffrey Arend,Horror Mystery Thriller,devil,Bojana Novakovic Bokeem Woodbine Geoffrey Arend John Erick Dowdle Horror Mystery Thriller
Marcus Raboy,John Witherspoon,Mike Epps,Katt Williams,Comedy Drama,friday after next,John Witherspoon Mike Epps Katt Williams Marcus Raboy Comedy Drama
Leigh Whannell,Lin Shaye,Hayley Kiyoko,Leigh Whannell,Fantasy Horror Thriller,insidious: chapter 3,Lin Shaye Hayley Kiyoko Leigh Whannell Leigh Whannell Fantasy Horror Thriller
Peter Sollett,Ari Graynor,Alexis Dziena,Aaron Yoo,Comedy Drama Music Romance,nick and norah's infinite playlist,Ari Graynor Alexis Dziena Aaron Yoo Peter Sollett Comedy Drama Music Romance
Bob Dolman,Erika Christensen,Eva Amurri Martino,Sal Lopez,Comedy Drama,the banger sisters,Erika Christensen Eva Amurri Martino Sal Lopez Bob Dolman Comedy Drama
John Polson,Erika Christensen,Shiri Appleby,Jason Ritter,Drama Thriller,swimfan,Erika Christensen Shiri Appleby Jason Ritter John Polson Drama Thriller
Greg Coolidge,Dane Cook,Danny Woodburn,Jessica Simpson,Comedy Romance,employee of the month,Dane Cook Danny Woodburn Jessica Simpson Greg Coolidge Comedy Romance
David Lowery,Bryce Dallas Howard,Oona Laurence,Isiah Whitlock Jr.,Adventure Family Fantasy,pete's dragon,Bryce Dallas Howard Oona Laurence Isiah Whitlock Jr. David Lowery Adventure Family Fantasy
Ciarán Foy,Laila Haley,James Ransone,Jaden Klein,Horror Mystery Thriller,sinister 2,Laila Haley James Ransone Jaden Klein Ciarán Foy Horror Mystery Thriller
Salim Akil,Omari Hardwick,Curtis Armstrong,Mike Epps,Drama Music,sparkle,Omari Hardwick Curtis Armstrong Mike Epps Salim Akil Drama Music
Jamie Blanks,Marley Shelton,Jessica Capshaw,Johnny Whitworth,Horror Mystery Thriller,valentine,Marley Shelton Jessica Capshaw Johnny Whitworth Jamie Blanks Horror Mystery Thriller
Olatunde Osunsanmi,Milla Jovovich,Will Patton,Hakeem Kae-Kazim,Mystery Sci-Fi Thriller,the fourth kind,Milla Jovovich Will Patton Hakeem Kae-Kazim Olatunde Osunsanmi Mystery Sci-Fi Thriller
Robert Altman,Meryl Streep,Virginia Madsen,Lily Tomlin,Comedy Drama Music,a prairie home companion,Meryl Streep Virginia Madsen Lily Tomlin Robert Altman Comedy Drama Music
Malcolm D. Lee,Jurnee Smollett-Bell,Brandon T. Jackson,Shad Moss,Comedy Drama Music Romance,roll bounce,Jurnee Smollett-Bell Brandon T. Jackson Shad Moss Malcolm D. Lee Comedy Drama Music Romance
Colin Strause,David Zayas,Donald Faison,Brittany Daniel,Action Sci-Fi Thriller,skyline,David Zayas Donald Faison Brittany Daniel Colin Strause Action Sci-Fi Thriller
John Madden,Tina Desai,Celia Imrie,Ronald Pickup,Comedy Drama,the second best exotic marigold hotel,Tina Desai Celia Imrie Ronald Pickup John Madden Comedy Drama
Patricia Rozema,Julia Ormond,Jane Krakowski,Willow Smith,Drama Family,kit kittredge: an american girl,Julia Ormond Jane Krakowski Willow Smith Patricia Rozema Drama Family
Mark Rosman,Ben Feldman,Chris Noth,Vanessa Lengies,Comedy Family Romance,the perfect man,Ben Feldman Chris Noth Vanessa Lengies Mark Rosman Comedy Family Romance
Steve Oedekerk,Steve Oedekerk,Simon Rhee,Jennifer Tung,Action Comedy,kung pow: enter the fist,Steve Oedekerk Simon Rhee Jennifer Tung Steve Oedekerk Action Comedy
Rob Schmidt,Kevin Zegers,Lindy Booth,Julian Richings,Horror Thriller,wrong turn,Kevin Zegers Lindy Booth Julian Richings Rob Schmidt Horror Thriller
Jeff Nichols,Matthew McConaughey,Tye Sheridan,Sam Shepard,Drama,mud,Matthew McConaughey Tye Sheridan Sam Shepard Jeff Nichols Drama
Robert Ben Garant,Wendi McLendon-Covey,Thomas Lennon,Carlos Alazraqui,Comedy Crime,reno 911!: miami,Wendi McLendon-Covey Thomas Lennon Carlos Alazraqui Robert Ben Garant Comedy Crime
Morgan Spurlock,Harry Styles,Zayn Malik,Niall Horan,Documentary Music,one direction: this is us,Harry Styles Zayn Malik Niall Horan Morgan Spurlock Documentary Music
Neal Brennan,Rob Riggle,Noureen DeWulf,Charles Napier,Comedy,"the goods: live hard, sell hard",Rob Riggle Noureen DeWulf Charles Napier Neal Brennan Comedy
Tuck Tucker,Jennifer Jason Leigh,Vincent Schiavelli,Paul Sorvino,Adventure Animation Comedy Family,hey arnold! the movie,Jennifer Jason Leigh Vincent Schiavelli Paul Sorvino Tuck Tucker Adventure Animation Comedy Family
Simon Curtis,Eddie Redmayne,Toby Jones,Julia Ormond,Biography Drama,my week with marilyn,Eddie Redmayne Toby Jones Julia Ormond Simon Curtis Biography Drama
Richard Shepard,Adam Scott,Philip Baker Hall,Hope Davis,Comedy Crime Drama Thriller,the matador,Adam Scott Philip Baker Hall Hope Davis Richard Shepard Comedy Crime Drama Thriller
Jim Hanon,Chase Ellison,Chad Allen,Jack Guzman,Adventure Drama,end of the spear,Chase Ellison Chad Allen Jack Guzman Jim Hanon Adventure Drama
Tommy O'Haver,Mila Kunis,Kirsten Dunst,Carmen Electra,Comedy Romance,get over it,Mila Kunis Kirsten Dunst Carmen Electra Tommy O'Haver Comedy Romance
Tim Burton,Christoph Waltz,Danny Huston,Jon Polito,Biography Crime Drama Romance,big eyes,Christoph Waltz Danny Huston Jon Polito Tim Burton Biography Crime Drama Romance
Joe Nussbaum,Steve Carell,Alexa PenaVega,Hunter Parrish,Comedy Romance,sleepover,Steve Carell Alexa PenaVega Hunter Parrish Joe Nussbaum Comedy Romance
Jorma Taccone,Jasper Cole,Will Forte,Powers Boothe,Action Comedy Romance,macgruber,Jasper Cole Will Forte Powers Boothe Jorma Taccone Action Comedy Romance
Stephen Frears,Sophie Okonedo,Benedict Wong,Sergi López,Crime Drama Thriller,dirty pretty things,Sophie Okonedo Benedict Wong Sergi López Stephen Frears Crime Drama Thriller
Elizabeth Banks,Hugh Jackman,Kate Winslet,Seth MacFarlane,Comedy,movie 43,Hugh Jackman Kate Winslet Seth MacFarlane Elizabeth Banks Comedy
Florian Henckel von Donnersmarck,Johnny Depp,Angelina Jolie Pitt,Rufus Sewell,Action Romance Thriller,the tourist,Johnny Depp Angelina Jolie Pitt Rufus Sewell Florian Henckel von Donnersmarck Action Romance Thriller
Jeff Lowell,Stephen Root,William Morgan Sheppard,Wendi McLendon-Covey,Comedy Fantasy Romance,over her dead body,Stephen Root William Morgan Sheppard Wendi McLendon-Covey Jeff Lowell Comedy Fantasy Romance
Lorene Scafaria,Steve Carell,Mark Moses,Rob Huebel,Adventure Comedy Drama Romance Sci-Fi,seeking a friend for the end of the world,Steve Carell Mark Moses Rob Huebel Lorene Scafaria Adventure Comedy Drama Romance Sci-Fi
Miguel Arteta,Kurtwood Smith,Stephen Root,Alia Shawkat,Comedy,cedar rapids,Kurtwood Smith Stephen Root Alia Shawkat Miguel Arteta Comedy
Marcus Dunstan,Daniel Sharman,Johanna Braddy,Lee Tergesen,Action Horror Thriller,the collection,Daniel Sharman Johanna Braddy Lee Tergesen Marcus Dunstan Action Horror Thriller
Timothy Björklund,Nathan Lane,Kelsey Grammer,Jerry Stiller,Animation Comedy Family Fantasy Musical,teacher's pet,Nathan Lane Kelsey Grammer Jerry Stiller Timothy Björklund Animation Comedy Family Fantasy Musical
Scott Kalvert,Norman Reedus,James Franco,Frankie Muniz,Action Crime Drama,deuces wild,Norman Reedus James Franco Frankie Muniz Scott Kalvert Action Crime Drama
Jason Bateman,Beth Grant,Philip Baker Hall,Patricia Belcher,Comedy Drama,bad words,Beth Grant Philip Baker Hall Patricia Belcher Jason Bateman Comedy Drama
David Schwimmer,Dylan Moran,Iddo Goldberg,India de Beaufort,Comedy Romance Sport,"run, fatboy, run",Dylan Moran Iddo Goldberg India de Beaufort David Schwimmer Comedy Romance Sport
Mike Binder,Jennifer Ehle,Gillian Jacobs,Jillian Estell,Drama,black or white,Jennifer Ehle Gillian Jacobs Jillian Estell Mike Binder Drama
Eric Bross,Jerry Stiller,Tamala Jones,Dave Foley,Comedy Family Romance,on the line,Jerry Stiller Tamala Jones Dave Foley Eric Bross Comedy Family Romance
Werner Herzog,Christian Bale,Toby Huss,François Chau,Adventure Biography Drama War,rescue dawn,Christian Bale Toby Huss François Chau Werner Herzog Adventure Biography Drama War
Dan Fogelman,Al Pacino,Jennifer Garner,Melissa Benoist,Comedy Drama Music,danny collins,Al Pacino Jennifer Garner Melissa Benoist Dan Fogelman Comedy Drama Music
Jay Duplass,Judy Greer,Evan Ross,Rae Dawn Chong,Comedy Drama,"jeff, who lives at home",Judy Greer Evan Ross Rae Dawn Chong Jay Duplass Comedy Drama
Luca Guadagnino,Flavio Parenti,Waris Ahluwalia,Alba Rohrwacher,Drama Romance,i am love,Flavio Parenti Waris Ahluwalia Alba Rohrwacher Luca Guadagnino Drama Romance
John Putch,Robert Picardo,Diedrich Bader,Esai Morales,Drama Mystery Sci-Fi,atlas shrugged ii: the strike,Robert Picardo Diedrich Bader Esai Morales John Putch Drama Mystery Sci-Fi
Victor Salva,Scott Mechlowicz,Tim DeKay,Agnes Bruckner,Drama Romance Sport,peaceful warrior,Scott Mechlowicz Tim DeKay Agnes Bruckner Victor Salva Drama Romance Sport
Tom Brady,Don Johnson,Kevin Nealon,Nicholas Turturro,Comedy,bucky larson: born to be a star,Don Johnson Kevin Nealon Nicholas Turturro Tom Brady Comedy
Jason Zada,Eoin Macken,Stephanie Vogt,Gen Seto,Horror Mystery Thriller,the forest,Eoin Macken Stephanie Vogt Gen Seto Jason Zada Horror Mystery Thriller
Noah Baumbach,Naomi Watts,Maria Dizzia,Dree Hemingway,Comedy Drama,while we're young,Naomi Watts Maria Dizzia Dree Hemingway Noah Baumbach Comedy Drama
Chris Weitz,Demián Bichir,Eddie 'Piolin' Sotelo,Robert Peters,Drama Romance,a better life,Demián Bichir Eddie 'Piolin' Sotelo Robert Peters Chris Weitz Drama Romance
David Cronenberg,Miranda Richardson,John Neville,Lynn Redgrave,Drama Mystery Thriller,spider,Miranda Richardson John Neville Lynn Redgrave David Cronenberg Drama Mystery Thriller
Douglas McGrath,Charlie Hunnam,Anne Hathaway,Jim Broadbent,Drama Romance,nicholas nickleby,Charlie Hunnam Anne Hathaway Jim Broadbent Douglas McGrath Drama Romance
Ariel Vromen,Chris Evans,James Franco,Robert Davi,Biography Crime Drama,the iceman,Chris Evans James Franco Robert Davi Ariel Vromen Biography Crime Drama
Rakesh Roshan,Naseeruddin Shah,Rekha,Sharat Saxena,Action Adventure Romance Sci-Fi,krrish,Naseeruddin Shah Rekha Sharat Saxena Rakesh Roshan Action Adventure Romance Sci-Fi
William Friedkin,Matthew McConaughey,Scott A. Martin,Carol Sutton,Crime Drama Romance Thriller,killer joe,Matthew McConaughey Scott A. Martin Carol Sutton William Friedkin Crime Drama Romance Thriller
Derrick Borte,Demi Moore,Gary Cole,Robert Pralgo,Comedy Drama,the joneses,Demi Moore Gary Cole Robert Pralgo Derrick Borte Comedy Drama
Richard Kwietniowski,Philip Seymour Hoffman,Minnie Driver,Maury Chaykin,Crime Drama Thriller,owning mahowny,Philip Seymour Hoffman Minnie Driver Maury Chaykin Richard Kwietniowski Crime Drama Thriller
Bob Odenkirk,Jenna Fischer,Lee Majors,Will Forte,Comedy,the brothers solomon,Jenna Fischer Lee Majors Will Forte Bob Odenkirk Comedy
Kar-Wai Wong,Natalie Portman,Norah Jones,Adriane Lenox,Drama Romance,my blueberry nights,Natalie Portman Norah Jones Adriane Lenox Kar-Wai Wong Drama Romance
Guy Ritchie,Bruce Greenwood,Jeanne Tripplehorn,David Thornton,Comedy Romance,swept away,Bruce Greenwood Jeanne Tripplehorn David Thornton Guy Ritchie Comedy Romance
Joshua Seftel,Bashar Rahal,Sergej Trifunovic,Ned Bellamy,Action Comedy Thriller,"war, inc.",Bashar Rahal Sergej Trifunovic Ned Bellamy Joshua Seftel Action Comedy Thriller
Stephen Chow,Wei Zhao,Karen Mok,Kwok-Kwan Chan,Action Comedy Sport,shaolin soccer,Wei Zhao Karen Mok Kwok-Kwan Chan Stephen Chow Action Comedy Sport
Vincent Gallo,Vincent Gallo,Cheryl Tiegs,Anna Vareschi,Drama,the brown bunny,Vincent Gallo Cheryl Tiegs Anna Vareschi Vincent Gallo Drama
Jon Stewart,Numan Acar,Claire Foy,Haluk Bilginer,Biography Drama,rosewater,Numan Acar Claire Foy Haluk Bilginer Jon Stewart Biography Drama
Ralph Fiennes,Gerard Butler,Ashraf Barhom,Lubna Azabal,Drama Thriller War,coriolanus,Gerard Butler Ashraf Barhom Lubna Azabal Ralph Fiennes Drama Thriller War
Dan Harris,Kip Pardue,Ryan Donowho,Larry Fessenden,Comedy Drama,imaginary heroes,Kip Pardue Ryan Donowho Larry Fessenden Dan Harris Comedy Drama
Mel Smith,Minnie Driver,Danny Dyer,Mary McCormack,Action Comedy Drama,high heels and low lifes,Minnie Driver Danny Dyer Mary McCormack Mel Smith Action Comedy Drama
Bobcat Goldthwait,Robin Williams,Daryl Sabara,Henry Simmons,Comedy Drama,world's greatest dad,Robin Williams Daryl Sabara Henry Simmons Bobcat Goldthwait Comedy Drama
Christopher Smith,Danny Dyer,Toby Stephens,Laura Harris,Comedy Horror Thriller,severance,Danny Dyer Toby Stephens Laura Harris Christopher Smith Comedy Horror Thriller
Stuart Gordon,Joe Mantegna,Dulé Hill,Jeffrey Combs,Drama Thriller,edmond,Joe Mantegna Dulé Hill Jeffrey Combs Stuart Gordon Drama Thriller
Jake Scott,Kristen Stewart,Ally Sheedy,Kerry Cahill,Drama,welcome to the rileys,Kristen Stewart Ally Sheedy Kerry Cahill Jake Scott Drama
Jeb Stuart,Ricky Schroder,Nate Parker,Lee Norris,Drama,blood done sign my name,Ricky Schroder Nate Parker Lee Norris Jeb Stuart Drama
Rafa Lara,Jorge Luis Moreno,Andrés Montiel,William Miller,Drama History War,"cinco de mayo, la batalla",Jorge Luis Moreno Andrés Montiel William Miller Rafa Lara Drama History War
Michael Radford,Chris Noth,Jared Gilman,James Brolin,Comedy Drama Romance,elsa & fred,Chris Noth Jared Gilman James Brolin Michael Radford Comedy Drama Romance
Michael Meredith,Jeff Bridges,Justin Timberlake,Ted Danson,Comedy Drama,the open road,Jeff Bridges Justin Timberlake Ted Danson Michael Meredith Comedy Drama
Julio DePietro,Adrian Martinez,Scott Porter,Aaron Yoo,Comedy Romance,the good guy,Adrian Martinez Scott Porter Aaron Yoo Julio DePietro Comedy Romance
